Date,Open,High,Low,Close,Adj Close,Volume
2002-03-01,7672.899902,7992.700195,7662.299805,7851.500000,7851.500000,233742720000
2002-04-01,7854.000000,7932.100098,7569.500000,7663.399902,7663.399902,239875570000
2002-05-01,7646.600098,7746.500000,7539.200195,7656.100098,7656.100098,227429490000
2002-06-01,7631.399902,7668.399902,7003.700195,7145.600098,7145.600098,286208280000
2002-07-01,7126.200195,7145.600098,5992.100098,6605.399902,6605.399902,264316150000
2002-08-01,6573.100098,6737.899902,6431.500000,6612.000000,6612.000000,214680060000
2002-09-01,6565.700195,6629.200195,6037.100098,6180.399902,6180.399902,245589170000
2002-10-01,6177.899902,6452.799805,5678.299805,6248.799805,6248.799805,300358340000
2002-11-01,6247.799805,6636.399902,6227.299805,6570.399902,6570.399902,268531670000
2002-12-01,6652.000000,6725.500000,6491.799805,6614.500000,6614.500000,274422610000
2003-01-01,6632.299805,6852.500000,6478.100098,6569.500000,6569.500000,288027770000
2003-02-01,6591.299805,6618.399902,6428.100098,6555.100098,6555.100098,195712950000
2003-03-01,6570.500000,6597.500000,6204.899902,6343.299805,6343.299805,229297700000
2003-04-01,6351.200195,6633.700195,6316.200195,6586.100098,6586.100098,244635380000
2003-05-01,6584.100098,6868.200195,6538.799805,6859.799805,6859.799805,255208810000
2003-06-01,6885.799805,7129.200195,6859.799805,6983.100098,6983.100098,259228840000
2003-07-01,6996.799805,7311.500000,6981.399902,7257.899902,7257.899902,260926000000
2003-08-01,7226.500000,7546.700195,7122.600098,7510.299805,7510.299805,211861940000
2003-09-01,7507.700195,7667.100098,7379.899902,7421.100098,7421.100098,318000650000
2003-10-01,7433.100098,7819.000000,7421.100098,7772.700195,7772.700195,270014160000
2003-11-01,7799.000000,7908.700195,7710.700195,7859.399902,7859.399902,220531050000
2003-12-01,7896.500000,8276.799805,7859.399902,8220.900391,8220.900391,251402160000
2004-01-01,8241.200195,8645.299805,8220.900391,8521.400391,8521.400391,334836760000
2004-02-01,8546.900391,8808.799805,8521.200195,8788.500000,8788.500000,262055870000
2004-03-01,8840.599609,8885.599609,8416.000000,8585.900391,8585.900391,338586620000
2004-04-01,8632.099609,8920.799805,8217.700195,8244.000000,8244.000000,300214460000
2004-05-01,8283.799805,8481.400391,8098.100098,8417.299805,8417.299805,255719660000
2004-06-01,8390.200195,8578.099609,8274.900391,8545.599609,8545.599609,252071650000
2004-07-01,8498.000000,8545.599609,8242.799805,8458.099609,8458.099609,222862250000
2004-08-01,8503.799805,8503.799805,8116.200195,8377.000000,8377.000000,215311110000
2004-09-01,8356.099609,8672.000000,8320.099609,8668.299805,8668.299805,243232440000
2004-10-01,8665.099609,8900.000000,8663.400391,8871.000000,8871.000000,252316650000
2004-11-01,8877.700195,9078.700195,8795.500000,9030.099609,9030.099609,263269790000
2004-12-01,9037.799805,9287.400391,8965.299805,9246.700195,9246.700195,244075130000
2005-01-01,9190.099609,9246.799805,8952.799805,9204.099609,9204.099609,233545480000
2005-02-01,9211.500000,9774.599609,9204.099609,9668.299805,9668.299805,244639260000
2005-03-01,9701.200195,9968.400391,9390.500000,9612.400391,9612.400391,295536570000
2005-04-01,9675.299805,9701.400391,9243.700195,9369.299805,9369.299805,237722820000
2005-05-01,9349.099609,9679.900391,9261.500000,9607.299805,9607.299805,230442200000
2005-06-01,9618.400391,10075.000000,9604.599609,9902.799805,9902.799805,261506050000
2005-07-01,10033.000000,10542.000000,9902.799805,10422.900391,10422.900391,211685850000
2005-08-01,10491.700195,10728.599609,10373.200195,10668.900391,10668.900391,282413450000
2005-09-01,10675.599609,11135.500000,10668.900391,11011.799805,11011.799805,315183070000
2005-10-01,11035.000000,11084.599609,10145.099609,10383.299805,10383.299805,281210790000
2005-11-01,10390.000000,11146.099609,10383.299805,10824.099609,10824.099609,290517710000
2005-12-01,10868.200195,11296.799805,10824.099609,11272.299805,11272.299805,272257580000
2006-01-01,11304.599609,12000.000000,11272.299805,11945.599609,11945.599609,363392590000
2006-02-01,11962.799805,12080.500000,11458.400391,11688.299805,11688.299805,360816380000
2006-03-01,11694.700195,12287.500000,11649.400391,12110.599609,12110.599609,395748830000
2006-04-01,12200.700195,12494.700195,12110.599609,12204.200195,12204.200195,340615250000
2006-05-01,12289.200195,12420.599609,11345.099609,11744.500000,11744.500000,429534020000
2006-06-01,11695.000000,11932.400391,10860.700195,11612.900391,11612.900391,377548700000
